;filename;camera_id;datetime;frame_id;label_class;x;y;w;h;confidence
0;cfg_raw_cam_01_fhd_h265_20230708T111000.mkv;01;2023-07-08 11:10:00;1380;8;1454;562;412;338;0.414091
1;cfg_raw_cam_01_fhd_h265_20230708T111000.mkv;01;2023-07-08 11:10:00;1381;8;1563;550;713;365;0.428139
2;cfg_raw_cam_01_fhd_h265_20230708T111000.mkv;01;2023-07-08 11:10:00;1382;8;1452;547;564;389;0.744922
3;cfg_raw_cam_01_fhd_h265_20230708T111000.mkv;01;2023-07-08 11:10:00;1383;8;1369;553;468;357;0.403064
4;cfg_raw_cam_01_fhd_h265_20230708T111000.mkv;01;2023-07-08 11:10:00;1384;8;1504;605;793;260;0.679756
5;cfg_raw_cam_01_fhd_h265_20230708T111000.mkv;01;2023-07-08 11:10:00;1384;8;1388;598;567;271;0.527942
6;cfg_raw_cam_01_fhd_h265_20230708T111000.mkv;01;2023-07-08 11:10:00;1385;8;1322;545;510;363;0.861592
7;cfg_raw_cam_01_fhd_h265_20230708T111000.mkv;01;2023-07-08 11:10:00;1386;8;1343;548;624;370;0.688523
8;cfg_raw_cam_01_fhd_h265_20230708T111000.mkv;01;2023-07-08 11:10:00;1387;8;1330;545;659;386;0.686518
9;cfg_raw_cam_01_fhd_h265_20230708T111000.mkv;01;2023-07-08 11:10:00;1388;8;1254;538;565;384;0.856721
10;cfg_raw_cam_01_fhd_h265_20230708T111000.mkv;01;2023-07-08 11:10:00;1389;8;1223;536;582;391;0.822204
11;cfg_raw_cam_01_fhd_h265_20230708T111000.mkv;01;2023-07-08 11:10:00;1390;8;1197;537;581;360;0.866104
12;cfg_raw_cam_01_fhd_h265_20230708T111000.mkv;01;2023-07-08 11:10:00;1391;8;1177;552;597;334;0.875219
13;cfg_raw_cam_01_fhd_h265_20230708T111000.mkv;01;2023-07-08 11:10:00;1392;8;1129;518;559;368;0.893085
14;cfg_raw_cam_01_fhd_h265_20230708T111000.mkv;01;2023-07-08 11:10:00;1393;8;1092;507;548;374;0.90922
15;cfg_raw_cam_01_fhd_h265_20230708T111000.mkv;01;2023-07-08 11:10:00;1394;8;1063;503;539;366;0.878652
16;cfg_raw_cam_01_fhd_h265_20230708T111000.mkv;01;2023-07-08 11:10:00;1395;8;1034;500;528;355;0.874081
17;cfg_raw_cam_01_fhd_h265_20230708T111000.mkv;01;2023-07-08 11:10:00;1396;8;1001;497;521;350;0.872205
18;cfg_raw_cam_01_fhd_h265_20230708T111000.mkv;01;2023-07-08 11:10:00;1397;8;970;495;498;339;0.867063
19;cfg_raw_cam_01_fhd_h265_20230708T111000.mkv;01;2023-07-08 11:10:00;1398;8;939;491;491;327;0.859675
20;cfg_raw_cam_01_fhd_h265_20230708T111000.mkv;01;2023-07-08 11:10:00;1399;8;909;489;486;314;0.858478
21;cfg_raw_cam_01_fhd_h265_20230708T111000.mkv;01;2023-07-08 11:10:00;1400;8;886;485;454;310;0.867554
22;cfg_raw_cam_01_fhd_h265_20230708T111000.mkv;01;2023-07-08 11:10:00;1401;8;858;513;434;232;0.874296
23;cfg_raw_cam_01_fhd_h265_20230708T111000.mkv;01;2023-07-08 11:10:00;1402;8;835;514;425;217;0.882641
24;cfg_raw_cam_01_fhd_h265_20230708T111000.mkv;01;2023-07-08 11:10:00;1403;8;809;510;416;215;0.882461
25;cfg_raw_cam_01_fhd_h265_20230708T111000.mkv;01;2023-07-08 11:10:00;1404;8;793;504;386;208;0.878151
26;cfg_raw_cam_01_fhd_h265_20230708T111000.mkv;01;2023-07-08 11:10:00;1405;8;761;502;385;199;0.861492
27;cfg_raw_cam_01_fhd_h265_20230708T111000.mkv;01;2023-07-08 11:10:00;1406;8;745;498;364;193;0.857275
28;cfg_raw_cam_01_fhd_h265_20230708T111000.mkv;01;2023-07-08 11:10:00;1407;8;717;492;369;190;0.86732
29;cfg_raw_cam_01_fhd_h265_20230708T111000.mkv;01;2023-07-08 11:10:00;1408;8;697;491;352;188;0.883917
30;cfg_raw_cam_01_fhd_h265_20230708T111000.mkv;01;2023-07-08 11:10:00;1409;8;675;487;340;175;0.884312
31;cfg_raw_cam_01_fhd_h265_20230708T111000.mkv;01;2023-07-08 11:10:00;1410;8;656;486;330;168;0.890027
32;cfg_raw_cam_01_fhd_h265_20230708T111000.mkv;01;2023-07-08 11:10:00;1411;8;637;484;324;156;0.880925
33;cfg_raw_cam_01_fhd_h265_20230708T111000.mkv;01;2023-07-08 11:10:00;1412;8;620;481;315;153;0.887914
