,camera_id,boat_track_id,frame_id_min,frame_id_max,label,decoded_spz,decoded_text
0,01,0,1087,1108,boat,,
1,01,1,25048,25143,boat,www.hausbotvilma.cz,
2,01,4,58362,58428,boat,303451-P,www.housbotvilma.cz;Max. 10 Osob
3,01,8,60451,60527,boat,303768-P,BLATOUCH;PŮJČOVNA-3;pronajemhousebotu.cz
4,01,13,61683,61760,boat,,LINKA STRÁŽNICE - PETROC A ZPĚT Tel.: 603 371 350
5,01,15,65076,65152,boat,3043?4?,Amálka;???
6,01,19,69597,69693,boat,600711-P,SASANKA;PŮJČOVNA-4;pronajemhousbotu.cz
7,01,24,76606,76686,boat,600042-P,MAX. 8 osob
8,01,27,83445,83541,boat,P-600752,???
9,01,30,86017,86081,boat,BRITA,???;???;???
10,01,35,86332,86383,boat,,???;???
11,01,39,92425,92499,boat,600409,???;???;???
12,01,44,96337,96708,boat,,???
13,01,46,103978,104049,boat,,???;???;???
14,01,51,104543,104584,boat,600042-P,MAX. 8 osob
15,01,54,104793,104910,boat,303451-P,www.housbotvilma.cz;Max. 10 Osob
16,01,58,109589,109677,boat,fP-600792,MONTY
17,01,61,110379,110471,boat,303756-P,Martina;!???
18,01,65,110844,110920,boat,f304173-P,Martina;!???
19,01,69,113530,113603,boat,303758-P,BLATOUCH;PŮJČOVNA-3;pronajemhousbotu.cz
20,01,74,119183,119275,boat,304173-P,PŮJČOVNA LODÍ ?????
21,01,77,126172,126255,boat,LINKASTRÁŽNICE-PETROVAZPĚTTel.:603371350,MAX. 8 osob
22,01,80,126936,127037,boat,30308?-P,MAX. 8 osob
23,01,83,130385,130464,boat,304173-P,BETY;PŮJČOVNA LODÍ ?????
24,01,87,132455,132537,boat,, LINKA STRÁŽNICE - PETROV A ZPĚT Tel.: 603 373 350
25,01,89,132655,132767,boat,,
26,01,90,133006,133092,boat,303890-P,PANAMA;PŮJČOVNA
27,01,94,134311,134372,boat,Jeronimo,???
28,01,97,134977,135107,boat,,???
29,01,100,136537,136628,boat,600764-P,???;???;???;MAX. 10 OSOB
30,01,107,136734,136825,boat,P-600034,Půjčovna;???
31,01,112,136834,136958,boat,304173-P,???;???;???
32,01,119,144578,144656,boat,107302,???
33,01,122,146843,146913,boat,,LINKA STRÁŽNICE - PETROV A ZPĚT Tel.: 603 371 350
34,01,125,150489,150575,boat,,Jacht Morava;Anabela;tel.: 603 106 691
35,01,130,160180,160252,boat,Martina,
36,01,132,160879,160941,boat,P-600752,MONTY
37,01,135,165852,165914,boat,304173-P,PŮJČOVNA LODÍ ?????
38,01,138,178459,178536,boat,600297,Jacht Morava;!Ale?andra;!tel.: 603 106 691
39,01,143,183770,183837,boat,P-600395,AMBI
40,01,146,188460,188525,boat,,
41,01,147,188836,188959,boat,,
42,01,149,189708,189802,boat,,SÁRA;PŮJČOVNA
43,01,153,190265,190360,boat,401990,SÁRA;PŮJČOVNA
44,01,157,196641,196703,boat,,
45,01,158,212078,212165,boat,60141?-P,???;???
46,01,162,213109,213178,boat,600418,!Viktork?
47,01,165,735187,735235,boat,600295,
48,01,167,739020,739075,boat,,???
49,01,170,739176,739241,boat,,???
50,01,173,741575,741674,boat,303084-P,MAX. 8 osob
51,01,176,742445,742511,boat,303084-P,MAX. 8 osob
52,01,179,746661,746758,boat,600293,???
53,01,183,747695,747758,boat,600293,???;Půjčovna
54,01,184,747700,747771,boat_alt,600494,???;Půjčovna
55,01,189,748158,748230,boat,,
56,01,190,750163,750209,boat,,???
57,01,192,750257,750294,boat,???37?-P,
58,01,194,757157,757207,boat,600711-P,
59,01,196,757245,757336,boat,600042-P,MAX. 8 osob
60,01,199,757415,757512,boat,,???
61,01,201,758019,758062,boat,,
62,01,202,758022,758090,boat_alt,,
63,01,204,758109,758159,boat,6005?7-P,???;???
64,01,208,758356,758411,boat,,???
65,01,210,758593,758670,boat,50087?,LINKA STRÁŽNICE - PETROV A ZPĚT Tel.: 603 371 350
66,01,213,759546,759669,boat,600293,???
67,01,216,760667,760741,boat,304173-P,???
68,01,219,763844,763888,boat,,
69,01,221,763989,764045,boat,,
70,01,223,764557,764617,boat,304???P,PŮJČOVNA
